tab,scan,filter,sel,preds,gp_ob,lg_preds
lineitem,"[0, 5, 6]","[0, 10]",0.22791422111737886,"[[10, '>', '1995-03-15']]","[5, 6, 0]","[10, '>', 795196800.0]"
orders,[5],"[4, 0]",0.016096666666666665,"[[4, '>=', '1993-07-01'], [4, '<', '1993-10-01']]",[5],"['and', [[4, '>=', 741456000.0], [4, '<', 749404800.0]]]"
lineitem,[],"[0, 11, 12]",0.1402186223144098,[],[],[]
customer,[],"[0, 3]",0.5882333333333334,[],[],[]
orders,[],"[1, 0, 4]",0.06483666666666667,"[[4, '>=', '1994-01-01'], [4, '<', '1995-01-01']]",[],"['and', [[4, '>=', 757353600.0], [4, '<', 788889600.0]]]"
lineitem,"[5, 6]","[0, 2]",0.420654200233506,[],"[6, 5]",[]
supplier,[],"[0, 3]",1.0,[],[],[]
nation,[1],"[0, 2]",6.8,[],[1],[]
region,[],"[0, 1]",0.2,"[[1, '=', 'ASIA']]",[],"[1, '=', 'ASIA']"
lineitem,"[5, 6]","[10, 6, 4]",0.008106042739437436,"[[10, '>=', '1994-01-01'], [10, '<', '1995-01-01'], [6, '>=', '0.049999999999999996'], [6, '<=', '0.06999999999999999'], [4, '<', '24']]",[],"['and', [[10, '>=', 757353600.0], [10, '<', 788889600.0], ['and', [[6, '>=', 0.049999999999999996], [6, '<=', 0.06999999999999999]]], [4, '<', 24]]]"
supplier,[],"[0, 3]",1.0,[],[],[]
lineitem,"[10, 5, 6]","[2, 0, 10]",0.12983168731858907,"[[10, '>=', '1995-01-01'], [10, '<=', '1996-12-31']]",[10],"['and', [[10, '>=', 788889600.0], [10, '<=', 851961600.0]]]"
orders,[],"[0, 1]",0.4166666666666667,[],[],[]
customer,[],"[0, 3]",0.5882333333333334,[],[],[]
nation,[],[],0.08,"[[1, '=', 'FRANCE'], [1, '=', 'GERMANY'], [1, '=', 'GERMANY'], [1, '=', 'FRANCE']]",[],"['or', [['and', [[1, '=', 'FRANCE'], [1, '=', 'GERMANY']]], ['and', [[1, '=', 'GERMANY'], [1, '=', 'FRANCE']]]]]"
